Binary,Function Name,Function URL
c99,Sudo,/gtfobins/c99/#sudo
cabal,Shell,/gtfobins/cabal/#shell
cabal,SUID,/gtfobins/cabal/#suid
cabal,Sudo,/gtfobins/cabal/#sudo
cancel,File upload,/gtfobins/cancel/#file-upload
capsh,Shell,/gtfobins/capsh/#shell
capsh,SUID,/gtfobins/capsh/#suid
capsh,Sudo,/gtfobins/capsh/#sudo
cat,File read,/gtfobins/cat/#file-read
cat,SUID,/gtfobins/cat/#suid
cat,Sudo,/gtfobins/cat/#sudo
cdist,Shell,/gtfobins/cdist/#shell
cdist,Sudo,/gtfobins/cdist/#sudo
certbot,Shell,/gtfobins/certbot/#shell
certbot,Sudo,/gtfobins/certbot/#sudo
check_by_ssh,Shell,/gtfobins/check_by_ssh/#shell
check_by_ssh,Sudo,/gtfobins/check_by_ssh/#sudo
check_cups,File read,/gtfobins/check_cups/#file-read
check_cups,Sudo,/gtfobins/check_cups/#sudo
check_log,File write,/gtfobins/check_log/#file-write
check_log,File read,/gtfobins/check_log/#file-read
check_log,Sudo,/gtfobins/check_log/#sudo
check_memory,File read,/gtfobins/check_memory/#file-read
check_memory,Sudo,/gtfobins/check_memory/#sudo
check_raid,File read,/gtfobins/check_raid/#file-read
check_raid,Sudo,/gtfobins/check_raid/#sudo
check_ssl_cert,Command,/gtfobins/check_ssl_cert/#command
check_ssl_cert,Sudo,/gtfobins/check_ssl_cert/#sudo
check_statusfile,File read,/gtfobins/check_statusfile/#file-read
check_statusfile,Sudo,/gtfobins/check_statusfile/#sudo
chmod,SUID,/gtfobins/chmod/#suid
chmod,Sudo,/gtfobins/chmod/#sudo
choom,Shell,/gtfobins/choom/#shell
choom,SUID,/gtfobins/choom/#suid
choom,Sudo,/gtfobins/choom/#sudo
chown,SUID,/gtfobins/chown/#suid
chown,Sudo,/gtfobins/chown/#sudo
chroot,SUID,/gtfobins/chroot/#suid
chroot,Sudo,/gtfobins/chroot/#sudo
clamscan,File read,/gtfobins/clamscan/#file-read
